location_key,date,country_code,country_name,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_recovered,cumulative_recovered,cumulative_vaccine_doses_administered
BR,2021-01-17,BR,Brazil,33040.0,551.0,8488099.0,209847.0,21676.0,7361379.0,470.0
BR,2021-01-18,BR,Brazil,23671.0,452.0,8511770.0,210299.0,27405.0,7388784.0,1737.0
BR,2021-01-19,BR,Brazil,62094.0,1192.0,8573864.0,211491.0,22870.0,7411654.0,16081.0
BR,2021-01-20,BR,Brazil,64385.0,1340.0,8638249.0,212831.0,40393.0,7452047.0,124834.0
BR,2021-01-21,BR,Brazil,59119.0,1316.0,8697368.0,214147.0,66799.0,7518846.0,271030.0
BR,2021-01-22,BR,Brazil,56552.0,1096.0,8753920.0,215243.0,45776.0,7564622.0,618779.0
BR,2021-01-23,BR,Brazil,62334.0,1202.0,8816254.0,216445.0,16119.0,7580741.0,743637.0
BR,2021-01-24,BR,Brazil,28323.0,592.0,8844577.0,217037.0,14030.0,7594771.0,787792.0
BR,2021-01-25,BR,Brazil,26816.0,627.0,8871393.0,217664.0,33667.0,7628438.0,1005947.0
BR,2021-01-26,BR,Brazil,61963.0,1214.0,8933356.0,218878.0,25332.0,7653770.0,1260152.0
BR,2021-01-27,BR,Brazil,63520.0,1283.0,8996876.0,220161.0,55832.0,7709602.0,1572958.0
BR,2021-01-28,BR,Brazil,61811.0,1386.0,9058687.0,221547.0,89053.0,7798655.0,1834833.0
BR,2021-01-29,BR,Brazil,59826.0,1119.0,9118513.0,222666.0,78682.0,7877337.0,2223485.0
BR,2021-01-30,BR,Brazil,58462.0,1279.0,9176975.0,223945.0,46457.0,7923794.0,2343225.0
BR,2021-01-31,BR,Brazil,27756.0,559.0,9204731.0,224504.0,36849.0,7960643.0,2378836.0
BR,2021-02-01,BR,Brazil,24591.0,595.0,9229322.0,225099.0,37603.0,7998246.0,2583218.0
BR,2021-02-02,BR,Brazil,54096.0,1210.0,9283418.0,226309.0,28796.0,8027042.0,2813155.0
BR,2021-02-03,BR,Brazil,56002.0,1254.0,9339420.0,227563.0,50925.0,8077967.0,3104085.0
BR,2021-02-04,BR,Brazil,56873.0,1232.0,9396293.0,228795.0,82962.0,8160929.0,3412128.0
BR,2021-02-05,BR,Brazil,50872.0,1239.0,9447165.0,230034.0,75935.0,8236864.0,3761591.0
BR,2021-02-06,BR,Brazil,50630.0,978.0,9497795.0,231012.0,54899.0,8291763.0,3908295.0
BR,2021-02-07,BR,Brazil,26845.0,522.0,9524640.0,231534.0,35035.0,8326798.0,3956261.0
BR,2021-02-08,BR,Brazil,23439.0,636.0,9548079.0,232170.0,36879.0,8363677.0,4173166.0
BR,2021-02-09,BR,Brazil,51486.0,1350.0,9599565.0,233520.0,33510.0,8397187.0,4444298.0
BR,2021-02-10,BR,Brazil,59602.0,1330.0,9659167.0,234850.0,50458.0,8447645.0,4720619.0
BR,2021-02-11,BR,Brazil,54742.0,1351.0,9713909.0,236201.0,75817.0,8523462.0,5022575.0
BR,2021-02-12,BR,Brazil,51546.0,1288.0,9765455.0,237489.0,72668.0,8596130.0,5492236.0
BR,2021-02-13,BR,Brazil,44299.0,1043.0,9809754.0,238532.0,47563.0,8643693.0,5600609.0
BR,2021-02-14,BR,Brazil,24759.0,713.0,9834513.0,239245.0,34634.0,8678327.0,5655690.0
BR,2021-02-15,BR,Brazil,32197.0,528.0,9866710.0,239773.0,32513.0,8710840.0,5981981.0
BR,2021-02-16,BR,Brazil,55271.0,1167.0,9921981.0,240940.0,34584.0,8745424.0,6254595.0
BR,2021-02-17,BR,Brazil,56766.0,1150.0,9978747.0,242090.0,59815.0,8805239.0,6576078.0
BR,2021-02-18,BR,Brazil,51879.0,1367.0,10030626.0,243457.0,77952.0,8883191.0,6905675.0
BR,2021-02-19,BR,Brazil,51050.0,1308.0,10081676.0,244765.0,67259.0,8950450.0,7178730.0
BR,2021-02-20,BR,Brazil,57472.0,1212.0,10139148.0,245977.0,44796.0,8995246.0,7305463.0
BR,2021-02-21,BR,Brazil,29026.0,527.0,10168174.0,246504.0,33913.0,9029159.0,7378810.0
BR,2021-02-22,BR,Brazil,26986.0,639.0,10195160.0,247143.0,38780.0,9067939.0,7627254.0
BR,2021-02-23,BR,Brazil,62715.0,1386.0,10257875.0,248529.0,27544.0,9095483.0,7863542.0
BR,2021-02-24,BR,Brazil,66588.0,1428.0,10324463.0,249957.0,43732.0,9139215.0,8097249.0
BR,2021-02-25,BR,Brazil,65998.0,1541.0,10390461.0,251498.0,75949.0,9215164.0,8388414.0
BR,2021-02-26,BR,Brazil,65169.0,1337.0,10455630.0,252835.0,65854.0,9281018.0,8604929.0
BR,2021-02-27,BR,Brazil,61602.0,1386.0,10517232.0,254221.0,42678.0,9323696.0,8756699.0
BR,2021-02-28,BR,Brazil,34027.0,721.0,10551259.0,254942.0,62744.0,9386440.0,8791241.0
BR,2021-03-01,BR,Brazil,35742.0,778.0,10587001.0,255720.0,24593.0,9411033.0,9245902.0
BR,2021-03-02,BR,Brazil,59925.0,1641.0,10646926.0,257361.0,46067.0,9457100.0,9713629.0
BR,2021-03-03,BR,Brazil,71704.0,1910.0,10718630.0,259271.0,70073.0,9527173.0,10255817.0
BR,2021-03-04,BR,Brazil,75102.0,1699.0,10793732.0,260970.0,64417.0,9591590.0,10667607.0
BR,2021-03-05,BR,Brazil,75495.0,1800.0,10869227.0,262770.0,45430.0,9637020.0,11077377.0
